{'loss': 0.1928, 'learning_rate': 9.749211094502575e-06, 'epoch': 1.61}
{'loss': 0.2331, 'learning_rate': 9.333997674804851e-06, 'epoch': 1.63}
{'loss': 0.192, 'learning_rate': 8.918784255107124e-06, 'epoch': 1.64}
{'loss': 0.1934, 'learning_rate': 8.503570835409401e-06, 'epoch': 1.66}
{'loss': 0.189, 'learning_rate': 8.088357415711676e-06, 'epoch': 1.68}
{'loss': 0.2236, 'learning_rate': 7.67314399601395e-06, 'epoch': 1.69}
{'loss': 0.2246, 'learning_rate': 7.2579305763162266e-06, 'epoch': 1.71}
{'loss': 0.178, 'learning_rate': 6.842717156618503e-06, 'epoch': 1.73}
{'loss': 0.1785, 'learning_rate': 6.427503736920777e-06, 'epoch': 1.74}
{'loss': 0.1797, 'learning_rate': 6.012290317223053e-06, 'epoch': 1.76}
{'loss': 0.1807, 'learning_rate': 5.597076897525328e-06, 'epoch': 1.78}
{'loss': 0.2143, 'learning_rate': 5.18601561202458e-06, 'epoch': 1.79}
{'loss': 0.1803, 'learning_rate': 4.770802192326856e-06, 'epoch': 1.81}
{'loss': 0.2234, 'learning_rate': 4.355588772629132e-06, 'epoch': 1.83}
{'loss': 0.1768, 'learning_rate': 3.940375352931407e-06, 'epoch': 1.84}
{'loss': 0.1901, 'learning_rate': 3.5251619332336824e-06, 'epoch': 1.86}
{'loss': 0.167, 'learning_rate': 3.1099485135359577e-06, 'epoch': 1.88}
{'loss': 0.2131, 'learning_rate': 2.694735093838233e-06, 'epoch': 1.89}
{'loss': 0.2416, 'learning_rate': 2.2795216741405084e-06, 'epoch': 1.91}
{'loss': 0.1681, 'learning_rate': 1.8643082544427835e-06, 'epoch': 1.93}
{'loss': 0.1923, 'learning_rate': 1.449094834745059e-06, 'epoch': 1.94}
{'loss': 0.1719, 'learning_rate': 1.0338814150473345e-06, 'epoch': 1.96}
{'loss': 0.1872, 'learning_rate': 6.186679953496097e-07, 'epoch': 1.98}
{'loss': 0.2411, 'learning_rate': 2.0345457565188506e-07, 'epoch': 1.99}
{'eval_loss': 0.2196703553199768, 'eval_runtime': 1155.1969, 'eval_samples_per_second': 20.848, 'eval_steps_per_second': 5.212, 'epoch': 2.0}
{'train_runtime': 30783.8683, 'train_samples_per_second': 6.259, 'train_steps_per_second': 0.391, 'train_loss': 0.30578413375527574, 'epoch': 2.0}
